TABLE:  Pier Forces;;;;;;;;;
Story;Pier;Load Case/Combo;Location;P;V2;V3;T;M2;M3
;;;;tonf;tonf;tonf;tonf-m;tonf-m;tonf-m
Story12;J4;SU05 Min;Top;-19.74626308;-7.381375849;-0.01486491;-0.015791295;-0.019569213;-3.679967058
Story12;J4;SU05 Min;Bottom;-22.75187476;-7.350306493;-0.030520292;0.01441046;-0.015050259;-3.083128057
Story12;J4;SU06 Max;Top;-14.58085916;4.249045252;0.068845089;0.0092476;0.058379128;8.218126097
Story12;J4;SU06 Max;Bottom;-9.488627474;4.387911486;0.040718982;0.02853127;0.011713903;3.789706087
Story12;J4;SU06 Min;Top;-21.23875727;-10.466858;-0.057642406;-0.026621325;-0.059979312;-2.533604787
Story12;J4;SU06 Min;Bottom;-27.22831423;-10.53404959;-0.066964909;0.007810406;-0.028318428;-3.655930398
Story12;J4;SU07;Top;-10.01524163;-1.736189712;0.003208493;-0.005024874;-0.000462492;1.562629577
Story12;J4;SU07;Bottom;-10.84020373;-1.714988247;-0.007776109;0.010799681;-0.004922587;0.008811634
Story12;J4;SU08 Max;Top;-8.178786767;2.536279764;0.023674744;0.002079559;0.018306629;8.08485729
Story12;J4;SU08 Max;Bottom;-6.446799815;2.562249196;0.00962122;0.014560059;0.001825409;3.158827535
Story12;J4;SU08 Min;Top;-11.85169649;-6.008659188;-0.017257758;-0.012129306;-0.019231613;-4.959598135
Story12;J4;SU08 Min;Bottom;-15.23360764;-5.992225689;-0.025173438;0.007039303;-0.011670584;-3.141204268
Story12;J4;SU09 Max;Top;-6.68629257;5.621761913;0.066452241;0.012909589;0.058716728;6.938495019
Story12;J4;SU09 Max;Bottom;-1.970360348;5.745992291;0.046065837;0.021160113;0.015093578;3.731629876
Story12;J4;SU09 Min;Top;-13.34419069;-9.094141337;-0.060035255;-0.022959336;-0.059641712;-3.813235865
Story12;J4;SU09 Min;Bottom;-19.7100471;-9.175968784;-0.061618054;0.000439248;-0.024938753;-3.714006609
Story12;J2;SU01;Top;-15.47345143;-3.073999597;-0.005648019;0.008459874;0.001771048;2.532967972
Story12;J2;SU01;Bottom;-16.40475604;-3.042455708;0.011622157;-0.016772533;0.00633032;-0.134827424
Story12;J2;SU02;Top;-20.77506327;-4.122761531;-0.007313747;0.01091563;0.00233788;3.492493856
Story12;J2;SU02;Bottom;-20.34109296;-4.083798623;0.014360173;-0.02058449;0.007815355;-0.092752304
Story12;J2;SU03;Top;-14.13020713;-2.80931377;-0.005072317;0.007590134;0.00158404;2.423551328
Story12;J2;SU03;Bottom;-14.81749354;-2.780673067;0.010307681;-0.014834942;0.005617851;-0.07560015
Story12;J2;SU04;Top;-18.05965465;-3.585241432;-0.006413616;0.009581219;0.002038175;3.026559271
Story12;J2;SU04;Bottom;-18.07476627;-3.550562646;0.012751329;-0.018310206;0.006941826;-0.096624036
Story12;J2;SU05 Max;Top;-15.92581832;0.686498078;0.014540071;0.016207669;0.02034859;9.406533272
Story12;J2;SU05 Max;Bottom;-13.37375005;0.725060136;0.029437614;-0.014549545;0.013482771;3.044544934
Story12;J2;SU05 Min;Top;-19.6514605;-7.747945335;-0.027222828;0.002743011;-0.01631349;-3.511187181
Story12;J2;SU05 Min;Bottom;-22.30311119;-7.718151748;-0.004151101;-0.021784314;0.000280967;-3.262771889
Story12;J2;SU06 Max;Top;-14.46834805;3.840378436;0.056893893;0.027242788;0.061073183;8.372986397
Story12;J2;SU06 Max;Bottom;-8.98342061;3.976840193;0.065749637;-0.007764113;0.026843507;3.690087627
Story12;J2;SU06 Min;Top;-21.10893076;-10.90182569;-0.06957665;-0.008292109;-0.057038082;-2.477640307
Story12;J2;SU06 Min;Bottom;-26.69344063;-10.9699318;-0.040463125;-0.028569746;-0.013079769;-3.908314581
Story12;J2;SU07;Top;-9.947218773;-1.976142598;-0.003630869;0.005438491;0.001138531;1.628336553
Story12;J2;SU07;Bottom;-10.5459146;-1.955864384;0.007471387;-0.010782342;0.004069491;-0.086674772
Story12;J2;SU08 Max;Top;-8.084397684;2.241079109;0.01725058;0.01217082;0.019469571;8.08719678
Story12;J2;SU08 Max;Bottom;-6.081234027;2.265741558;0.024265744;-0.007164957;0.010670393;3.066983639
Story12;J2;SU08 Min;Top;-11.81003986;-6.193364305;-0.024512319;-0.001293839;-0.017192509;-4.830523673
Story12;J2;SU08 Min;Bottom;-15.01059517;-6.177470326;-0.009322971;-0.014399727;-0.002531411;-3.240333184
Story12;J2;SU09 Max;Top;-6.626927421;5.394959467;0.059604402;0.023205939;0.060194163;7.053649905
Story12;J2;SU09 Max;Bottom;-1.690904588;5.517521615;0.060577768;-0.000379526;0.024031129;3.712526331
Story12;J2;SU09 Min;Top;-13.26751013;-9.347244663;-0.066866141;-0.012328958;-0.057917101;-3.796976798
Story12;J2;SU09 Min;Bottom;-19.40092461;-9.429250383;-0.045634994;-0.021185158;-0.015892147;-3.885875876
Story12;8B;SU01;Top;-7.129885265;-0.381577659;0.023120131;0.000875578;-0.016623126;0.15539555
Story12;8B;SU01;Bottom;-11.10011188;-0.382200894;0.029089215;0.000353411;0.015762037;-0.245378683
Story12;8B;SU02;Top;-9.287419139;-0.49330995;0.029733307;0.001174229;-0.021354429;0.202273015
Story12;8B;SU02;Bottom;-13.51479877;-0.49424379;0.037861375;0.000498088;0.020530425;-0.313050504
Story12;8B;SU03;Top;-6.435265433;-0.327385151;0.020787056;0.000750277;-0.015023741;0.133490371
Story12;8B;SU03;Bottom;-9.882595278;-0.327917332;0.026761319;0.000302665;0.014482589;-0.21051538
Story12;8B;SU04;Top;-8.134346954;-0.431006015;0.026128436;0.001015303;-0.018780527;0.176403679
Story12;8B;SU04;Bottom;-12.05779238;-0.431789754;0.033227648;0.000424871;0.018011823;-0.274550643
Story12;8B;SU05 Max;Top;-7.186914515;1.558361525;0.038322658;0.015215637;-0.014254878;2.166604432
Story12;8B;SU05 Max;Bottom;-11.30010376;1.563413116;0.085375421;0.006354352;0.048871674;1.473606232
Story12;8B;SU05 Min;Top;-8.879319889;-2.420174438;0.013328089;-0.013184895;-0.022821583;-1.813980941
Story12;8B;SU05 Min;Bottom;-12.58534746;-2.42679477;-0.02006244;-0.005504448;-0.013455698;-2.022588272
Story12;8B;SU06 Max;Top;-7.759942116;5.992424086;0.03004726;0.046529936;-0.017044097;6.497292708
Story12;8B;SU06 Max;Bottom;-11.7265656;6.010837047;0.049220174;0.018710663;0.027523849;5.352121683
Story12;8B;SU06 Min;Top;-8.306292288;-6.854236999;0.021603486;-0.044499194;-0.020032364;-6.144669216
Story12;8B;SU06 Min;Bottom;-12.15888562;-6.874218701;0.016092807;-0.017860758;0.007892127;-5.901103722
Story12;8B;SU07;Top;-4.58349767;-0.245299923;0.014862941;0.000562871;-0.010686295;0.099897139
Story12;8B;SU07;Bottom;-7.13578621;-0.245700575;0.01870021;0.000227193;0.010132738;-0.157743439
Story12;8B;SU08 Max;Top;-3.737294984;1.743968058;0.027360226;0.014763138;-0.006402943;2.090189826
Story12;8B;SU08 Max;Bottom;-6.493164359;1.749403368;0.07141914;0.006156593;0.041296424;1.590353813
Story12;8B;SU08 Min;Top;-5.429700357;-2.234567905;0.002365657;-0.013637395;-0.014969648;-1.890395548
Story12;8B;SU08 Min;Bottom;-7.778408062;-2.240804518;-0.034018721;-0.005702207;-0.021030948;-1.905840691
Story12;8B;SU09 Max;Top;-4.310322585;6.178030619;0.019084828;0.046077436;-0.009192162;6.420878101
Story12;8B;SU09 Max;Bottom;-6.919626202;6.196827299;0.035263893;0.018512903;0.019948599;5.468869264
Story12;8B;SU09 Min;Top;-4.856672756;-6.668630466;0.010641055;-0.044951694;-0.012180429;-6.221083823
Story12;8B;SU09 Min;Bottom;-7.351946219;-6.688228449;0.002136526;-0.018058518;0.000316877;-5.784356141
Story12;10;SU01;Top;-8.825073102;-0.964846414;-0.000249934;-0.000506893;5.64588E-05;-6.58143E-06
Story12;10;SU01;Bottom;-16.26054732;-0.964846414;-0.000249934;-0.000535863;-0.000796041;-2.297042103
Story12;10;SU02;Top;-12.72308384;-1.245047129;-0.000368108;-0.000539118;8.13518E-05;-8.19552E-06
