TABLE:  Pier Section Properties;;;;;;;;;;;;;;;
Story;Pier;Axis Angle;# Area Objects;# Line Objects;Width Bottom;Thickness Bottom;Width Top;Thickness Top;Material;CG Bottom X;CG Bottom Y;CG Bottom Z;CG Top X;CG Top Y;CG Top Z
;;deg;;;m;m;m;m;;m;m;m;m;m;m
Story6;I3;0;27;0;3.625;0.12;3.625;0.12;H280;7.4575;5.375;11.9;7.4575;5.375;14.28
Story6;5A;90;24;0;2.83;0.12;2.83;0.12;H280;5.585;6.79;11.9;5.585;6.79;14.28
Story6;K1;0;42;0;5.585;0.12;5.585;0.12;H280;2.7925;6.79;11.9;2.7925;6.79;14.28
Story6;1A;90;66;0;7.74;0.15;7.74;0.15;H280;0;6.79;11.9;0;6.79;14.28
Story6;K2;0;42;0;5.585;0.12;5.585;0.12;H280;38.6275;6.79;11.9;38.6275;6.79;14.28
Story6;E4;0;9;0;0.945;0.15;0.945;0.15;H280;30.5925;0.555;11.9;30.5925;0.555;14.28
Story6;E3;0;9;0;0.945;0.15;0.945;0.15;H280;9.8825;0.555;11.9;9.8825;0.555;14.28
Story6;E2;0;18;0;1.89;0.15;1.89;0.15;H280;31.065;13.025;11.9;31.065;13.025;14.28
Story6;E1;0;21;0;1.95;0.15;1.95;0.15;H280;10.385;13.025;11.9;10.385;13.025;14.28
Story6;L2;0;42;0;5.525;0.12;5.525;0.12;H280;23.5325;6.79;11.9;23.5325;6.79;14.28
Story6;L1;0;42;0;5.525;0.12;5.525;0.12;H280;17.8875;6.79;11.9;17.8875;6.79;14.28
Story5;1B;90;66;0;7.74;0.15;7.74;0.15;H280;41.42;6.79;9.52;41.42;6.79;11.9
Story5;I2;0;30;0;3.625;0.12;3.625;0.12;H280;33.9625;8.205;9.52;33.9625;8.205;11.9
Story5;5B;90;27;0;2.83;0.12;2.83;0.12;H280;35.835;6.79;9.52;35.835;6.79;11.9
Story5;I4;0;33;0;3.625;0.12;3.625;0.12;H280;33.9625;5.375;9.52;33.9625;5.375;11.9
Story5;7D;90;39;0;4.82;0.12;4.82;0.12;H280;31.065;2.965;9.52;31.065;2.965;11.9
Story5;7B;90;39;0;4.82;0.12;4.82;0.12;H280;31.065;10.615;9.52;31.065;10.615;11.9
Story5;J4;0;27;0;3.625;0.12;3.625;0.12;H280;28.1675;5.375;9.52;28.1675;5.375;11.9
Story5;J2;0;27;0;3.625;0.12;3.625;0.12;H280;28.1675;8.205;9.52;28.1675;8.205;11.9
Story5;8B;90;24;0;2.83;0.12;2.83;0.12;H280;26.295;6.79;9.52;26.295;6.79;11.9
Story5;10;90;66;0;7.74;0.15;7.74;0.15;H280;20.71;6.79;9.52;20.71;6.79;11.9
Story5;J1;0;30;0;3.625;0.12;3.625;0.12;H280;13.2525;8.205;9.52;13.2525;8.205;11.9
Story5;8A;90;27;0;2.83;0.12;2.83;0.12;H280;15.125;6.79;9.52;15.125;6.79;11.9
Story5;J3;0;33;0;3.625;0.12;3.625;0.12;H280;13.2525;5.375;9.52;13.2525;5.375;11.9
